Razao_Social;UF;REGISTRO_ANS;CNPJ;Modalidade;Trimestre;Ano;Total_Despesas;Media_Trimestral
BRADESCO SAÚDE S.A.;RJ;5711;92693118000160;Seguradora Especializada em Saúde;3;2025;154569768401.46;1932122105.01825
SUL AMERICA COMPANHIA DE SEGURO SAÚDE;RJ;6246;1685053000156;Seguradora Especializada em Saúde;3;2025;122532727009.81999;949866100.8513178
BRADESCO SAÚDE S.A.;RJ;5711;92693118000160;Seguradora Especializada em Saúde;2;2025;106904045610.1;1319803032.2234569
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;SP;326305;29309127000179;Medicina de Grupo;3;2025;95223563156.1;695062504.7890512
SUL AMERICA COMPANHIA DE SEGURO SAÚDE;RJ;6246;1685053000156;Seguradora Especializada em Saúde;2;2025;84499488764.67;655034796.6253488
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;SP;326305;29309127000179;Medicina de Grupo;2;2025;65604955052.4;478868285.0540146
BRADESCO SAÚDE S.A.;RJ;5711;92693118000160;Seguradora Especializada em Saúde;1;2025;61214533180.84;755734977.5412345
SUL AMERICA COMPANHIA DE SEGURO SAÚDE;RJ;6246;1685053000156;Seguradora Especializada em Saúde;1;2025;48691461602.32;383397335.4513386
NOTRE DAME INTERMÉDICA SAÚDE S.A.;SP;359017;44649812000138;Medicina de Grupo;3;2025;44806429435.75;373386911.96458334
HAPVIDA ASSISTENCIA MEDICA S.A.;CE;368253;63554067000198;Medicina de Grupo;3;2025;42044049912.67;273013311.12123376
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;SP;326305;29309127000179;Medicina de Grupo;1;2025;35916482464.71;299304020.53925
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL;DF;346659;33719485000127;Autogestão;3;2025;33523883885.25;609525161.55
HAPVIDA ASSISTENCIA MEDICA S.A.;CE;368253;63554067000198;Medicina de Grupo;2;2025;32380377643.1;218786335.42635134
UNIMED NACIONAL - COOPERATIVA CENTRAL;SP;339679;2812468000106;Cooperativa Médica;3;2025;31696774255.579998;249580899.65023622
NOTRE DAME INTERMÉDICA SAÚDE S.A.;SP;359017;44649812000138;Medicina de Grupo;2;2025;30802174297.66;250424181.28178862
PORTO SEGURO - SEGURO SAÚDE S/A;SP;582;4540010000170;Seguradora Especializada em Saúde;3;2025;26277461939.63;320456852.9223171
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO;MG;343889;16513178000176;Cooperativa Médica;3;2025;24441994030.09;144627183.61
GEAP AUTOGESTÃO EM SAÚDE;DF;323080;3658432000182;Autogestão;3;2025;24366039706.31;363672234.4225373
PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;SP;302147;461479000163;Medicina de Grupo;3;2025;22672927451.67;462712805.1361224
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL;DF;346659;33719485000127;Autogestão;2;2025;22568768888.55;410341252.5190909
UNIMED SEGUROS SAÚDE S/A;SP;701;4487255000181;Seguradora Especializada em Saúde;3;2025;22231410935.8;247015677.06444442
UNIMED NACIONAL - COOPERATIVA CENTRAL;SP;339679;2812468000106;Cooperativa Médica;2;2025;22058301933.19;170994588.62937984
UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;RJ;312363;31432792000105;Cooperativa Médica;3;2025;20587973524.84;447564641.84434783
PORTO SEGURO - SEGURO SAÚDE S/A;SP;582;4540010000170;Seguradora Especializada em Saúde;2;2025;17408169629.56;212294751.58
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.;RS;352501;87096616000196;Cooperativa Médica;3;2025;16212233317.460001;113372260.96125875
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO;MG;343889;16513178000176;Cooperativa Médica;2;2025;16199459713.21;101883394.4227044
GEAP AUTOGESTÃO EM SAÚDE;DF;323080;3658432000182;Autogestão;2;2025;16192394622.66;241677531.68149254
PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;SP;302147;461479000163;Medicina de Grupo;2;2025;14979758879.76;305709364.8930612
UNIMED SEGUROS SAÚDE S/A;SP;701;4487255000181;Seguradora Especializada em Saúde;2;2025;14817050158.69;168375569.98511365
UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;RJ;312363;31432792000105;Cooperativa Médica;2;2025;14739246901.35;313600997.90106386
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS;PR;304701;75055772000120;Cooperativa Médica;3;2025;14712021587.57;113169396.82746154
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO ;PR;354627;81733115000197;Cooperativa Médica;3;2025;14478341934.039999;249626585.06965515
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO ;PR;354627;81733115000197;Cooperativa Médica;2;2025;14398177819.72;248244445.1675862
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO ;PR;354627;81733115000197;Cooperativa Médica;1;2025;14323056158.07;246949244.10465518
NOTRE DAME INTERMÉDICA SAÚDE S.A.;SP;359017;44649812000138;Medicina de Grupo;1;2025;14321242803.43;130193116.39481819
HAPVIDA ASSISTENCIA MEDICA S.A.;CE;368253;63554067000198;Medicina de Grupo;1;2025;13809385187.98;93306656.67554054
